,lambda_u,lambda_i,lambda_p,lambda_t,n_factors,MAE
0,0.001,0.001,1.0,1.0,1,0.708413238473
1,0.001,0.001,1.0,10.0,1,0.704396404288
2,0.001,0.001,1.0,100.0,1,0.695780909013
3,0.001,0.001,10.0,1.0,1,0.70326065343
4,0.001,0.001,10.0,10.0,1,0.70042666958
5,0.001,0.001,10.0,100.0,1,0.695460944083
6,0.001,0.001,100.0,1.0,1,0.696331530008
7,0.001,0.001,100.0,10.0,1,0.696598992446
8,0.001,0.001,100.0,100.0,1,0.697092198562
9,0.001,0.01,1.0,1.0,1,0.697996507631
10,0.001,0.01,1.0,10.0,1,0.703780406945
11,0.001,0.01,1.0,100.0,1,0.700032540906
12,0.001,0.01,10.0,1.0,1,0.705909209592
13,0.001,0.01,10.0,10.0,1,0.704889151717
14,0.001,0.01,10.0,100.0,1,0.69980249477
15,0.001,0.01,100.0,1.0,1,0.700616196988
16,0.001,0.01,100.0,10.0,1,0.701458711211
17,0.001,0.01,100.0,100.0,1,0.701678161831
18,0.001,0.1,1.0,1.0,1,0.7013035363
19,0.001,0.1,1.0,10.0,1,0.701496894747
20,0.001,0.1,1.0,100.0,1,0.701061561788
21,0.001,0.1,10.0,1.0,1,0.706968175444
22,0.001,0.1,10.0,10.0,1,0.705463852932
23,0.001,0.1,10.0,100.0,1,0.701940981456
24,0.001,0.1,100.0,1.0,1,0.702217687824
25,0.001,0.1,100.0,10.0,1,0.702693265922
26,0.001,0.1,100.0,100.0,1,0.701660226652
27,0.001,1.0,1.0,1.0,1,0.699945127397
28,0.001,1.0,1.0,10.0,1,0.699196962479
29,0.001,1.0,1.0,100.0,1,0.697900236525
30,0.001,1.0,10.0,1.0,1,0.699749378472
31,0.001,1.0,10.0,10.0,1,0.699374406507
32,0.001,1.0,10.0,100.0,1,0.694811660306
33,0.001,1.0,100.0,1.0,1,0.6939667012
34,0.001,1.0,100.0,10.0,1,0.6940248507
35,0.001,1.0,100.0,100.0,1,0.694475978445
36,0.01,0.001,1.0,1.0,1,0.695794060937
37,0.01,0.001,1.0,10.0,1,0.69667956753
38,0.01,0.001,1.0,100.0,1,0.69726179013
39,0.01,0.001,10.0,1.0,1,0.703719700533
40,0.01,0.001,10.0,10.0,1,0.702774201821
41,0.01,0.001,10.0,100.0,1,0.699657141858
42,0.01,0.001,100.0,1.0,1,0.699467647727
43,0.01,0.001,100.0,10.0,1,0.700806996751
44,0.01,0.001,100.0,100.0,1,0.702143015853
45,0.01,0.01,1.0,1.0,1,0.701175184052
46,0.01,0.01,1.0,10.0,1,0.701309780698
47,0.01,0.01,1.0,100.0,1,0.702269157159
48,0.01,0.01,10.0,1.0,1,0.707019802682
49,0.01,0.01,10.0,10.0,1,0.707074391742
50,0.01,0.01,10.0,100.0,1,0.702663241638
51,0.01,0.01,100.0,1.0,1,0.703400016455
52,0.01,0.01,100.0,10.0,1,0.704178607142
53,0.01,0.01,100.0,100.0,1,0.703688650708
54,0.01,0.1,1.0,1.0,1,0.703454378995
55,0.01,0.1,1.0,10.0,1,0.703318186029
56,0.01,0.1,1.0,100.0,1,0.703907966931
57,0.01,0.1,10.0,1.0,1,0.707578450396
58,0.01,0.1,10.0,10.0,1,0.707101822231
59,0.01,0.1,10.0,100.0,1,0.702893271379
60,0.01,0.1,100.0,1.0,1,0.70343427962
61,0.01,0.1,100.0,10.0,1,0.703551344656
62,0.01,0.1,100.0,100.0,1,0.703650308442
63,0.01,1.0,1.0,1.0,1,0.701685083409
64,0.01,1.0,1.0,10.0,1,0.699648280068
65,0.01,1.0,1.0,100.0,1,0.699150646944
66,0.01,1.0,10.0,1.0,1,0.699612483472
67,0.01,1.0,10.0,10.0,1,0.699397375069
68,0.01,1.0,10.0,100.0,1,0.695706572084
69,0.01,1.0,100.0,1.0,1,0.695006169137
70,0.01,1.0,100.0,10.0,1,0.694746986183
71,0.01,1.0,100.0,100.0,1,0.694453319673
72,0.1,0.001,1.0,1.0,1,0.696479435679
73,0.1,0.001,1.0,10.0,1,0.69620992398
74,0.1,0.001,1.0,100.0,1,0.696926627004
75,0.1,0.001,10.0,1.0,1,0.703783551319
76,0.1,0.001,10.0,10.0,1,0.703311987453
77,0.1,0.001,10.0,100.0,1,0.699611379484
78,0.1,0.001,100.0,1.0,1,0.700194953582
79,0.1,0.001,100.0,10.0,1,0.700872719492
80,0.1,0.001,100.0,100.0,1,0.701353552207
81,0.1,0.01,1.0,1.0,1,0.702404051268
82,0.1,0.01,1.0,10.0,1,0.701932497863
83,0.1,0.01,1.0,100.0,1,0.70230235217
84,0.1,0.01,10.0,1.0,1,0.707794378202
85,0.1,0.01,10.0,10.0,1,0.70728533547
86,0.1,0.01,10.0,100.0,1,0.702934301979
87,0.1,0.01,100.0,1.0,1,0.703037060473
88,0.1,0.01,100.0,10.0,1,0.702925100694
89,0.1,0.01,100.0,100.0,1,0.704036754776
90,0.1,0.1,1.0,1.0,1,0.703155048213
91,0.1,0.1,1.0,10.0,1,0.703548670174
92,0.1,0.1,1.0,100.0,1,0.704037509524
93,0.1,0.1,10.0,1.0,1,0.709137346667
94,0.1,0.1,10.0,10.0,1,0.707884031542
95,0.1,0.1,10.0,100.0,1,0.703762791781
96,0.1,0.1,100.0,1.0,1,0.703687407019
97,0.1,0.1,100.0,10.0,1,0.703533064406
98,0.1,0.1,100.0,100.0,1,0.703167442155
99,0.1,1.0,1.0,1.0,1,0.701339427468
100,0.1,1.0,1.0,10.0,1,0.699982744692
101,0.1,1.0,1.0,100.0,1,0.698300071234
102,0.1,1.0,10.0,1.0,1,0.700348617669
103,0.1,1.0,10.0,10.0,1,0.698940081525
104,0.1,1.0,10.0,100.0,1,0.695245312633
105,0.1,1.0,100.0,1.0,1,0.695250591661
106,0.1,1.0,100.0,10.0,1,0.694879034342
107,0.1,1.0,100.0,100.0,1,0.694150838193
108,1.0,0.001,1.0,1.0,1,0.695260966679
109,1.0,0.001,1.0,10.0,1,0.704615831305
110,1.0,0.001,1.0,100.0,1,0.700084080212
111,1.0,0.001,10.0,1.0,1,0.706374061594
112,1.0,0.001,10.0,10.0,1,0.705002075748
113,1.0,0.001,10.0,100.0,1,0.700212114537
114,1.0,0.001,100.0,1.0,1,0.70127477454
115,1.0,0.001,100.0,10.0,1,0.701843394607
116,1.0,0.001,100.0,100.0,1,0.702203826929
117,1.0,0.01,1.0,1.0,1,0.701737939011
118,1.0,0.01,1.0,10.0,1,0.70285410556
119,1.0,0.01,1.0,100.0,1,0.702660935511
120,1.0,0.01,10.0,1.0,1,0.708078553439
121,1.0,0.01,10.0,10.0,1,0.707367550836
122,1.0,0.01,10.0,100.0,1,0.703605286797
123,1.0,0.01,100.0,1.0,1,0.703157658874
124,1.0,0.01,100.0,10.0,1,0.703263221719
125,1.0,0.01,100.0,100.0,1,0.703532242809
126,1.0,0.1,1.0,1.0,1,0.703645436969
127,1.0,0.1,1.0,10.0,1,0.703758799332
128,1.0,0.1,1.0,100.0,1,0.704108865892
129,1.0,0.1,10.0,1.0,1,0.708712128731
130,1.0,0.1,10.0,10.0,1,0.706989811188
131,1.0,0.1,10.0,100.0,1,0.703846405749
132,1.0,0.1,100.0,1.0,1,0.703077932205
133,1.0,0.1,100.0,10.0,1,0.703594637361
134,1.0,0.1,100.0,100.0,1,0.703617993245
135,1.0,1.0,1.0,1.0,1,0.701127121688
136,1.0,1.0,1.0,10.0,1,0.699874059006
137,1.0,1.0,1.0,100.0,1,0.698795391414
138,1.0,1.0,10.0,1.0,1,0.701212371653
139,1.0,1.0,10.0,10.0,1,0.699453490571
140,1.0,1.0,10.0,100.0,1,0.694976433103
141,1.0,1.0,100.0,1.0,1,0.694702347334
142,1.0,1.0,100.0,10.0,1,0.694245201308
143,1.0,1.0,100.0,100.0,1,0.695402605925
144,0.001,0.001,1.0,1.0,2,0.696775560014
145,0.001,0.001,1.0,10.0,2,0.71483664252
146,0.001,0.001,1.0,100.0,2,0.702297566616
147,0.001,0.001,10.0,1.0,2,0.714456645007
148,0.001,0.001,10.0,10.0,2,0.708838579651
149,0.001,0.001,10.0,100.0,2,0.702010327593
150,0.001,0.001,100.0,1.0,2,0.701981513415
151,0.001,0.001,100.0,10.0,2,0.701656698883
152,0.001,0.001,100.0,100.0,2,0.702508420475
153,0.001,0.01,1.0,1.0,2,0.702233733845
154,0.001,0.01,1.0,10.0,2,0.702819180989
155,0.001,0.01,1.0,100.0,2,0.703253342458
156,0.001,0.01,10.0,1.0,2,0.708182559251
157,0.001,0.01,10.0,10.0,2,0.705903304911
158,0.001,0.01,10.0,100.0,2,0.702742299346
159,0.001,0.01,100.0,1.0,2,0.704440244875
160,0.001,0.01,100.0,10.0,2,0.704010935927
161,0.001,0.01,100.0,100.0,2,0.705759365918
162,0.001,0.1,1.0,1.0,2,0.704151561203
163,0.001,0.1,1.0,10.0,2,0.704291287788
164,0.001,0.1,1.0,100.0,2,0.70404273539
165,0.001,0.1,10.0,1.0,2,0.708279405011
166,0.001,0.1,10.0,10.0,2,0.704450456393
167,0.001,0.1,10.0,100.0,2,0.703227020473
168,0.001,0.1,100.0,1.0,2,0.703659312953
169,0.001,0.1,100.0,10.0,2,0.703396648807
170,0.001,0.1,100.0,100.0,2,0.703574156098
171,0.001,1.0,1.0,1.0,2,0.701975792221
172,0.001,1.0,1.0,10.0,2,0.700590006251
173,0.001,1.0,1.0,100.0,2,0.698693865378
174,0.001,1.0,10.0,1.0,2,0.697100729392
175,0.001,1.0,10.0,10.0,2,0.695932588041
176,0.001,1.0,10.0,100.0,2,0.69422362631
177,0.001,1.0,100.0,1.0,2,0.695204992022
178,0.001,1.0,100.0,10.0,2,0.694413470002
179,0.001,1.0,100.0,100.0,2,0.694680142636
180,0.01,0.001,1.0,1.0,2,0.695408361135
181,0.01,0.001,1.0,10.0,2,0.696454752506
182,0.01,0.001,1.0,100.0,2,0.697496150168
183,0.01,0.001,10.0,1.0,2,0.705777091312
184,0.01,0.001,10.0,10.0,2,0.702911151975
185,0.01,0.001,10.0,100.0,2,0.700449770933
186,0.01,0.001,100.0,1.0,2,0.701882470223
187,0.01,0.001,100.0,10.0,2,0.701540439809
188,0.01,0.001,100.0,100.0,2,0.703045344094
189,0.01,0.01,1.0,1.0,2,0.702710226231
190,0.01,0.01,1.0,10.0,2,0.703246063813
191,0.01,0.01,1.0,100.0,2,0.703268833007
192,0.01,0.01,10.0,1.0,2,0.708593832221
193,0.01,0.01,10.0,10.0,2,0.705254272374
194,0.01,0.01,10.0,100.0,2,0.703816733831
195,0.01,0.01,100.0,1.0,2,0.703818326701
196,0.01,0.01,100.0,10.0,2,0.704474910721
197,0.01,0.01,100.0,100.0,2,0.704318115299
198,0.01,0.1,1.0,1.0,2,0.704764774074
199,0.01,0.1,1.0,10.0,2,0.710104539193
200,0.01,0.1,1.0,100.0,2,0.702100200837
201,0.01,0.1,10.0,1.0,2,0.707938043953
202,0.01,0.1,10.0,10.0,2,0.704926683487
203,0.01,0.1,10.0,100.0,2,0.702876633844
204,0.01,0.1,100.0,1.0,2,0.703716525236
205,0.01,0.1,100.0,10.0,2,0.703677242461
206,0.01,0.1,100.0,100.0,2,0.703804682357
207,0.01,1.0,1.0,1.0,2,0.702465139844
208,0.01,1.0,1.0,10.0,2,0.700515215864
209,0.01,1.0,1.0,100.0,2,0.69895015562
210,0.01,1.0,10.0,1.0,2,0.697646897464
211,0.01,1.0,10.0,10.0,2,0.696292515337
212,0.01,1.0,10.0,100.0,2,0.693924499109
213,0.01,1.0,100.0,1.0,2,0.694227606238
214,0.01,1.0,100.0,10.0,2,0.695020506168
215,0.01,1.0,100.0,100.0,2,0.694742971848
216,0.1,0.001,1.0,1.0,2,0.695444118941
217,0.1,0.001,1.0,10.0,2,0.696234582668
218,0.1,0.001,1.0,100.0,2,0.697211043195
219,0.1,0.001,10.0,1.0,2,0.70726515482
220,0.1,0.001,10.0,10.0,2,0.702812951726
221,0.1,0.001,10.0,100.0,2,0.70026832697
222,0.1,0.001,100.0,1.0,2,0.701460027623
223,0.1,0.001,100.0,10.0,2,0.701923584044
224,0.1,0.001,100.0,100.0,2,0.702849067482
225,0.1,0.01,1.0,1.0,2,0.703692771656
226,0.1,0.01,1.0,10.0,2,0.703052093712
227,0.1,0.01,1.0,100.0,2,0.703471575879
228,0.1,0.01,10.0,1.0,2,0.707735465767
229,0.1,0.01,10.0,10.0,2,0.705521097312
230,0.1,0.01,10.0,100.0,2,0.703462536106
231,0.1,0.01,100.0,1.0,2,0.704342148171
232,0.1,0.01,100.0,10.0,2,0.705337266735
233,0.1,0.01,100.0,100.0,2,0.705008776602
234,0.1,0.1,1.0,1.0,2,0.704420147862
235,0.1,0.1,1.0,10.0,2,0.704149934881
236,0.1,0.1,1.0,100.0,2,0.704508396496
237,0.1,0.1,10.0,1.0,2,0.70812126976
238,0.1,0.1,10.0,10.0,2,0.705400089508
239,0.1,0.1,10.0,100.0,2,0.703155874031
240,0.1,0.1,100.0,1.0,2,0.703554337533
241,0.1,0.1,100.0,10.0,2,0.703787072256
242,0.1,0.1,100.0,100.0,2,0.703837396315
243,0.1,1.0,1.0,1.0,2,0.701741804071
244,0.1,1.0,1.0,10.0,2,0.70049690378
245,0.1,1.0,1.0,100.0,2,0.699390968554
246,0.1,1.0,10.0,1.0,2,0.697979341181
247,0.1,1.0,10.0,10.0,2,0.695806599101
248,0.1,1.0,10.0,100.0,2,0.693716856837
