,lambda_p,lambda_t,n_factors,MAE
0,16.5905791484,0.891451053176,12,0.758585702905
1,0.19360522351,0.149190248105,8,0.857613228338
2,19.3818341713,4.92407058601,3,0.710849768854
3,0.1212237347,11.6252121118,13,0.829695949342
4,0.167428933898,20.7342657854,20,0.818296037796
5,8.44091104399,3.29008291615,11,0.732908630301
6,0.965025903953,7.65014801823,12,0.774835258915
7,2.60167135108,29.5073392194,4,0.706708566791
8,0.833731297787,23.0266576563,14,0.744795060363
9,0.398413797174,4.37262694747,1,0.722749695348
10,0.280935417371,0.540778041633,13,0.878848055636
11,0.11482427376,3.7292988783,16,0.875239223453
12,76.9497392418,70.0830437854,13,0.711589567671
13,0.330862224713,1.0210509011,5,0.791079074863
14,37.4956363336,13.1462728552,12,0.711027526703
15,0.857399999201,13.8346589663,13,0.762126468934
16,4.89554611154,0.28934845146,13,0.831625275253
17,1.40455404929,2.0166223656,12,0.8136855318
18,1.02245225796,0.666802944324,15,0.870742688767
19,0.316317600714,1.09463922845,16,0.875539901831
20,64.9695606219,26.8620221323,3,0.711589550224
21,0.137585301369,1.72938675235,10,0.852548432088
22,2.17224475051,6.24940178716,3,0.725616351943
23,24.5983209695,3.39638822921,17,0.703466693464
24,50.8564922476,1.12594934483,17,0.712049552431
25,15.0383864469,53.1974737088,9,0.711579900848
26,0.712857431707,1.73119246213,20,0.849791066197
27,50.1504512274,4.40949521547,2,0.709859131222
28,1.0377851522,9.04399126412,18,0.771855844355
29,0.309725948513,0.204391755212,5,0.806812253335
30,6.4379679699,82.5332303768,13,0.711407899857
31,0.911821914066,66.232826821,2,0.713657806522
32,9.32409607212,59.5983961834,2,0.711570020679
33,0.859885612054,2.1370310331,16,0.833028890209
34,0.170740514018,0.369047270523,19,0.921272516863
35,0.493314269219,5.65049010162,10,0.793187717755
36,2.87068298081,49.1873282492,11,0.700420381792
37,69.3258767544,5.11444726584,17,0.707032372567
38,58.0026631581,23.1697892571,5,0.711589528109
39,0.22140047696,1.10473530666,3,0.750916588555
40,0.147170594273,2.38337169116,11,0.855170975184
41,0.682781120435,1.18375008722,12,0.840512048227
42,82.0102215311,26.3284380589,19,0.711589557014
43,4.29142644549,25.7458680966,17,0.699796709758
44,12.8501887459,4.19737065069,2,0.715672603734
45,7.0346029979,0.120230133916,20,0.859218330149
46,0.884003688995,0.487708206548,19,0.877206812729
47,0.177942741287,1.23551906656,3,0.755813764881
48,87.5354178106,22.5792400941,10,0.711589563394
49,10.3233010008,23.2195661315,19,0.701517238048
